ClientID,TipClient,Consum_kWh,DataCitire
12343,Industrial,10.88,2025-06-06
12355,Industrial,34.4,2025-05-12
12357,Industrial,23.28,2025-05-19
12347,Casnic,34.47,2025-06-09
12356,Casnic,36.73,2025-05-24
12352,Casnic,18.77,2025-04-06
12344,Industrial,21.42,2025-06-13
12358,Industrial,14.61,2025-05-05
12346,Casnic,26.01,2025-05-06
12360,Casnic,46.58,2025-06-22
12348,Casnic,22.13,2025-06-16
12340,Casnic,13.88,2025-06-20
12348,Industrial,24.05,2025-06-09
12347,Industrial,35.6,2025-06-21
12354,Casnic,23.25,2025-06-24
12350,Casnic,43.14,2025-06-05
12342,Casnic,48.32,2025-05-05
12347,Casnic,17.18,2025-05-10
12354,Industrial,19.11,2025-06-14
12348,Industrial,18.32,2025-05-01
12358,Casnic,41.65,2025-06-11
12353,Industrial,30.36,2025-05-20
12357,Industrial,46.67,2025-05-28
12346,Casnic,20.53,2025-06-30
12346,Industrial,32.29,2025-05-04
12352,Casnic,19.88,2025-05-16
12354,Industrial,47.92,2025-06-13
12357,Casnic,11.66,2025-06-24
12345,Casnic,13.57,2025-05-26
12346,Casnic,25.38,2025-05-14
12348,Industrial,35.05,2025-05-10
12356,Casnic,49.74,2025-06-05
12355,Industrial,43.27,2025-06-07
12353,Casnic,13.7,2025-06-09
12359,Casnic,39.7,2025-05-31
12345,Casnic,24.27,2025-05-17
12343,Industrial,30.52,2025-07-05
12348,Casnic,23.82,2025-06-08
12346,Casnic,23.45,2025-06-29
12345,Casnic,16.65,2025-06-28
12348,Industrial,29.96,2025-05-16
12349,Casnic,42.22,2025-06-13
12355,Casnic,43.57,2025-06-27
12348,Casnic,23.07,2025-05-05
12348,Industrial,33.1,2025-07-05
12344,Industrial,43.86,2025-06-02
12352,Industrial,26.33,2025-05-30
12353,Industrial,14.08,2025-05-21
12347,Industrial,42.61,2025-06-05
12343,Industrial,23.6,2025-05-03
12360,Industrial,25.09,2025-06-15
12359,Casnic,36.61,2025-05-30
12345,Casnic,30.69,2025-06-06
12356,Casnic,14.81,2025-05-23
12351,Industrial,49.93,2025-07-05
12357,Casnic,41.43,2025-06-05
12356,Casnic,36.92,2025-05-27
12346,Casnic,16.77,2025-05-06
12340,Casnic,45.38,2025-06-27
12348,Casnic,14.32,2025-05-20
12360,Industrial,29.28,2025-06-16
12341,Industrial,26.53,2025-05-16
12345,Casnic,43.66,2025-06-08
12359,Casnic,28.66,2025-06-20
12346,Industrial,13.8,2025-05-25
12350,Casnic,31.2,2025-05-22
12358,Casnic,43.2,2025-06-02
12341,Industrial,22.39,2025-05-28
12344,Industrial,24.85,2025-06-19
12344,Industrial,45.88,2025-06-26
12342,Industrial,40.19,2025-06-28
12340,Industrial,43.87,2025-05-05
12341,Casnic,39.39,2025-06-18
12350,Industrial,48.85,2025-05-31
12356,Industrial,43.47,2025-06-07
12357,Casnic,39.76,2025-05-21
12354,Casnic,36.94,2025-05-13
12347,Industrial,38.76,2025-05-04
12356,Casnic,13.78,2025-05-01
12342,Industrial,20.36,2025-06-16
12345,Casnic,49.84,2025-06-22
12344,Casnic,32.1,2025-06-16
12360,Casnic,36.92,2025-06-02
12359,Casnic,43.26,2025-05-24
12346,Industrial,27.98,2025-06-03
12343,Industrial,37.37,2025-06-10
12348,Industrial,19.59,2025-04-06
12341,Industrial,38.33,2025-06-21
12358,Casnic,40.45,2025-11-06
12350,Industrial,43.9,2025-06-26
12360,Industrial,10.64,2025-05-31
12343,Industrial,24.1,2025-06-14
12349,Industrial,48.32,2025-06-20
12340,Industrial,46.41,2025-05-19
12347,Casnic,37.73,2025-05-14
12340,Casnic,17.69,2025-05-13
12353,Casnic,35.77,2025-06-25
12351,Industrial,17.11,2025-05-05
12352,Casnic,29.97,2025-06-04
12345,Casnic,46.09,2025-05-22
12355,Industrial,34.14,2025-06-05
12356,Industrial,31.74,2025-05-28
12356,Industrial,45.57,2025-05-15
12344,Industrial,17.26,2025-06-06
12345,Industrial,34.55,2025-05-01
12354,Industrial,44.66,2025-06-29
12355,Industrial,14.26,2025-06-05
12352,Industrial,41.81,2025-06-21
12357,Casnic,12.6,2025-06-22
12345,Casnic,29.94,2025-06-23
12347,Casnic,35.8,2025-06-23
12350,Industrial,22.69,2025-06-07
12352,Casnic,18.87,2025-05-03
12340,Industrial,32.56,2025-06-17
12349,Casnic,23.38,2025-05-15
12360,Casnic,16.93,2025-06-28
12352,Casnic,38.96,2025-05-27
12344,Industrial,18.48,2025-06-22
12349,Industrial,38.75,2025-05-13
12350,Industrial,16.54,2025-05-04
12344,Casnic,49.87,2025-05-31
12355,Industrial,37.77,2025-06-08
12344,Industrial,30.71,2025-05-27
12348,Casnic,23.38,2025-06-17
12346,Casnic,44.62,2025-04-06
12346,Industrial,15.11,2025-06-01
12354,Casnic,28.22,2025-06-11
12357,Casnic,13.83,2025-06-03
12349,Industrial,16.05,2025-05-24
12356,Casnic,49.73,2025-05-03
12360,Industrial,31.89,2025-06-15
12345,Casnic,37.93,2025-06-15
12358,Casnic,34.2,2025-11-06
12357,Industrial,26.61,2025-06-27
12360,Casnic,40.68,2025-05-23
12343,Industrial,43.07,2025-06-16
12346,Industrial,10.22,2025-06-25
12359,Industrial,16.92,2025-05-27
12348,Casnic,25.86,2025-05-31
12341,Casnic,40.49,2025-05-23
12350,Casnic,17.66,2025-05-09
12357,Casnic,38.01,2025-05-02
12353,Industrial,23.83,2025-05-02
12340,Casnic,42.48,2025-05-01
12358,Industrial,48.9,2025-05-14
12340,Industrial,10.7,2025-06-27
12340,Industrial,24.11,2025-05-17
12349,Casnic,11.19,2025-05-25
12351,Casnic,27.72,2025-05-07
12360,Casnic,15.18,2025-06-27
12346,Casnic,45.7,2025-06-12
12354,Industrial,44.45,2025-06-14
12345,Casnic,14.27,2025-06-25
12354,Casnic,22.92,2025-06-01
12360,Casnic,15.18,2025-06-17
12341,Industrial,17.73,2025-06-04
12341,Casnic,25.35,2025-06-28
12353,Casnic,16.62,2025-05-06
12360,Casnic,49.4,2025-05-18
12360,Industrial,40.53,2025-06-25
12348,Casnic,32.75,2025-06-09
12347,Casnic,19.19,2025-06-13
12350,Casnic,30.89,2025-06-24
12356,Industrial,14.32,2025-06-16
12353,Industrial,13.99,2025-06-12
12350,Casnic,40.34,2025-06-12
12345,Casnic,28.81,2025-05-20
12355,Casnic,25.08,2025-06-23
12343,Casnic,24.87,2025-06-04
12357,Casnic,30.27,2025-05-28
12348,Casnic,49.18,2025-06-11
12348,Casnic,13.85,2025-05-29
12342,Casnic,31.74,2025-06-03
12349,Casnic,46.45,2025-05-15
12359,Industrial,40.35,2025-06-05
12341,Casnic,23.32,2025-06-04
12360,Casnic,32.05,2025-02-05
12351,Industrial,24.62,2025-05-18
12358,Casnic,27.47,2025-06-27
12343,Casnic,18.74,2025-06-01
12358,Industrial,19.06,2025-06-28
12352,Casnic,30.43,2025-06-23
12355,Industrial,42.91,2025-06-04
12348,Industrial,11.49,2025-11-05
12348,Industrial,26.91,2025-06-13
12353,Casnic,39.34,2025-02-06
12359,Industrial,15.43,2025-05-27
12340,Casnic,22.67,2025-06-26
12342,Casnic,45.37,2025-06-04
12360,Industrial,35.99,2025-06-03
12347,Casnic,47.13,2025-05-21
12351,Industrial,30.04,2025-06-02
12348,Industrial,17.67,2025-05-12
12346,Industrial,17.37,2025-05-18
12347,Casnic,17.07,2025-05-03
12346,Industrial,19.53,2025-05-01
12344,Industrial,16.13,2025-06-15
12359,Industrial,11.06,2025-11-05
12344,Casnic,46.1,2025-06-24
12359,Casnic,25.59,2025-05-14
12351,Casnic,44.77,2025-05-28
12349,Industrial,48.55,2025-05-25
12360,Industrial,38.54,2025-05-19
12353,Casnic,41.14,2025-05-28
12343,Industrial,23.06,2025-06-14
12355,Casnic,44.04,2025-05-01
12340,Industrial,10.94,2025-06-02
12344,Casnic,36.03,2025-06-17
12351,Casnic,19.19,2025-05-12
12351,Industrial,28.96,2025-05-12
12357,Industrial,12.02,2025-06-21
12359,Industrial,29.83,2025-05-05
12356,Industrial,31.89,2025-05-20
12357,Casnic,14.25,2025-05-31
12345,Casnic,16.82,2025-06-16
12358,Casnic,47.49,2025-06-16
12343,Casnic,30.98,2025-06-23
12350,Casnic,33.2,2025-10-06
12341,Industrial,45.01,2025-05-12
12342,Casnic,40.04,2025-06-06
12343,Industrial,45.57,2025-06-24
12357,Industrial,37.06,2025-06-24
12347,Industrial,26.72,2025-05-26
12360,Industrial,40.81,2025-06-10
12354,Industrial,13.3,2025-05-30
12350,Casnic,10.78,2025-06-25
12347,Industrial,26.6,2025-05-22
12349,Casnic,22.31,2025-05-12
12354,Industrial,26.34,2025-05-21
12357,Industrial,15.92,2025-06-15
12349,Industrial,18.23,2025-05-17
12353,Industrial,38.02,2025-05-15
12349,Industrial,19.14,2025-05-02
12340,Casnic,12.65,2025-05-27
12355,Casnic,35.63,2025-06-30
12345,Casnic,38.79,2025-05-06
12348,Industrial,24.97,2025-05-20
12346,Casnic,12.09,2025-05-13
12359,Casnic,42.78,2025-05-18
12353,Industrial,31.21,2025-05-12
12351,Industrial,27.85,2025-06-21
12352,Casnic,33.72,2025-06-19
12343,Industrial,42.1,2025-06-20
12359,Casnic,26.86,2025-05-20
12342,Casnic,22.56,2025-06-11
12340,Casnic,21.09,2025-03-06
12348,Casnic,24.41,2025-06-08
12341,Casnic,48.21,2025-05-31
12350,Industrial,14.03,2025-05-20
12345,Industrial,10.14,2025-05-06
12350,Casnic,17.28,2025-06-19
12351,Casnic,32.61,2025-06-19
12353,Industrial,40.71,2025-06-19
12353,Casnic,25.78,2025-05-14
12341,Casnic,13.55,2025-06-27
12342,Industrial,13.29,2025-05-16
12343,Industrial,23.9,2025-05-06
12350,Industrial,13.35,2025-06-28
12356,Industrial,40.47,2025-05-10
12346,Casnic,25.9,2025-05-27
12346,Casnic,18.77,2025-06-26
12354,Casnic,13.09,2025-05-02
12355,Industrial,35.39,2025-06-07
12345,Casnic,13.75,2025-06-02
12341,Industrial,27.46,2025-06-27
12344,Casnic,45.95,2025-05-25
12349,Casnic,41.22,2025-05-22
12342,Industrial,13.37,2025-05-17
12355,Casnic,44.76,2025-06-13
12358,Industrial,42.82,2025-05-20
12356,Casnic,47.96,2025-05-19
12354,Casnic,39.93,2025-06-04
12350,Industrial,46.13,2025-05-18
12346,Casnic,26.79,2025-06-30
12359,Industrial,40.86,2025-05-30
12349,Industrial,16.24,2025-06-24
12356,Casnic,29.72,2025-06-24
12344,Industrial,25.44,2025-02-06
12349,Industrial,48.78,2025-05-22
12343,Industrial,27.14,2025-06-09
12345,Industrial,48.2,2025-06-21
12345,Casnic,28.41,2025-06-06
12354,Casnic,11.43,2025-05-16
12349,Industrial,47.01,2025-05-10
12357,Casnic,15.04,2025-05-17
12345,Casnic,49.59,2025-06-17
12353,Casnic,47.75,2025-06-20
12349,Industrial,28.34,2025-06-01
12347,Industrial,29.67,2025-06-23
12345,Industrial,30.43,2025-10-05
12359,Industrial,15.93,2025-05-08
12345,Casnic,22.04,2025-06-15
12351,Casnic,31.35,2025-04-06
12347,Casnic,25.8,2025-05-16
12359,Casnic,27.58,2025-05-05
12353,Industrial,35.64,2025-06-27
12359,Industrial,35.9,2025-05-25
12358,Industrial,34.17,2025-06-25
12342,Casnic,21.54,2025-12-05
12342,Industrial,25.85,2025-06-20
12360,Industrial,35.88,2025-05-25
12360,Industrial,32.83,2025-05-10
12350,Industrial,46.44,2025-05-07
12356,Casnic,17.04,2025-06-29
12343,Industrial,32.72,2025-06-05
12358,Casnic,45.35,2025-01-06
12360,Casnic,21.63,2025-05-08
12342,Industrial,49.16,2025-06-25
12358,Casnic,29.59,2025-05-22
12355,Industrial,17.63,2025-05-22
12348,Industrial,12.53,2025-05-10
12351,Industrial,39.21,2025-06-16
12357,Casnic,25.48,2025-06-23
12345,Casnic,24.82,2025-05-26
12354,Casnic,35.26,2025-05-03
12348,Casnic,20.34,2025-06-30
12343,Casnic,34.62,2025-06-14
12352,Industrial,32.69,2025-05-21
12342,Industrial,13.45,2025-05-31
12348,Industrial,35.98,2025-05-25
12350,Casnic,49.56,2025-05-27
12354,Casnic,18.23,2025-05-15
12353,Industrial,36.71,2025-06-23
12340,Industrial,45.59,2025-06-28
12360,Industrial,26.93,2025-06-25
12347,Casnic,44.71,2025-01-06
12355,Industrial,19.52,2025-05-19
12351,Industrial,24.95,2025-05-27
12349,Casnic,22.04,2025-06-17
12351,Casnic,20.42,2025-05-15
12353,Industrial,48.31,2025-06-30
12355,Industrial,33.16,2025-05-14
12349,Casnic,37.0,2025-10-05
12346,Industrial,12.99,2025-05-25
12341,Industrial,15.53,2025-05-28
12352,Casnic,19.49,2025-05-01
12357,Industrial,22.87,2025-06-21
12348,Industrial,35.26,2025-06-15
12349,Industrial,23.21,2025-06-27
12340,Industrial,25.86,2025-05-15
12346,Casnic,49.01,2025-06-07
12350,Industrial,48.84,2025-06-23
12359,Industrial,40.81,2025-06-02
12349,Casnic,36.76,2025-06-16
12342,Industrial,31.05,2025-05-03
12343,Casnic,49.82,2025-05-17
12359,Casnic,27.54,2025-05-27
12345,Industrial,21.7,2025-05-24
12352,Industrial,44.01,2025-06-23
12360,Casnic,29.34,2025-05-01
12345,Casnic,26.7,2025-06-14
12348,Casnic,17.17,2025-05-05
12345,Industrial,45.69,2025-05-19
12346,Casnic,42.44,2025-05-09
12342,Casnic,35.82,2025-05-09
12358,Casnic,48.48,2025-06-08
12352,Casnic,12.15,2025-05-18
12354,Industrial,36.51,2025-08-06
12351,Casnic,28.33,2025-11-05
12352,Casnic,29.17,2025-06-02
12352,Industrial,41.82,2025-06-20
12360,Casnic,21.93,2025-05-22
12353,Casnic,44.4,2025-05-09
12352,Industrial,35.62,2025-05-29
12353,Industrial,22.32,2025-06-08
12352,Casnic,33.88,2025-05-10
12360,Casnic,12.58,2025-06-27
12346,Casnic,40.78,2025-06-29
12346,Industrial,34.07,2025-05-22
12347,Casnic,19.4,2025-06-12
12345,Industrial,42.51,2025-06-15
12353,Industrial,27.38,2025-05-15
12351,Casnic,40.27,2025-06-18
12354,Industrial,31.37,2025-06-21
12359,Industrial,49.25,2025-05-20
12357,Casnic,31.29,2025-05-05
12346,Industrial,28.77,2025-10-05
12353,Industrial,30.94,2025-05-31
12356,Industrial,28.19,2025-06-19
12355,Industrial,36.33,2025-10-05
12360,Industrial,46.65,2025-05-15
12359,Casnic,26.69,2025-06-06
12358,Casnic,22.2,2025-05-23
12344,Casnic,49.53,2025-05-29
12357,Industrial,38.8,2025-06-04
12345,Industrial,14.43,2025-05-25
12340,Casnic,16.95,2025-05-16
12345,Casnic,31.94,2025-06-17
12342,Industrial,46.82,2025-06-26
12345,Casnic,14.32,2025-05-26
12353,Industrial,14.39,2025-06-14
12356,Casnic,15.01,2025-05-25
12360,Industrial,17.09,2025-01-06
12359,Industrial,44.38,2025-09-06
12341,Casnic,32.67,2025-02-06
12343,Casnic,25.34,2025-05-05
12346,Casnic,49.23,2025-06-30
12347,Casnic,40.56,2025-05-04
12341,Industrial,46.33,2025-05-22
12356,Industrial,32.95,2025-06-13
12358,Industrial,28.65,2025-06-13
12342,Industrial,30.97,2025-06-10
12349,Casnic,41.02,2025-05-13
12359,Casnic,48.9,2025-06-23
12340,Casnic,10.21,2025-06-12
12360,Industrial,36.56,2025-05-26
12358,Industrial,12.47,2025-05-04
12344,Industrial,23.07,2025-05-31
12342,Casnic,42.52,2025-06-11
12360,Casnic,23.11,2025-05-21
12355,Casnic,47.36,2025-05-08
12360,Industrial,43.5,2025-05-03
12349,Industrial,20.02,2025-11-06
12359,Casnic,35.17,2025-05-21
12352,Industrial,10.42,2025-05-08
12343,Casnic,43.39,2025-05-08
12359,Industrial,29.05,2025-05-15
12348,Casnic,48.13,2025-06-21
12353,Casnic,25.98,2025-05-29
12359,Casnic,11.42,2025-12-06
12359,Casnic,45.96,2025-06-15
12350,Industrial,47.19,2025-06-28
12349,Industrial,42.35,2025-05-27
12340,Casnic,21.24,2025-06-21
12357,Casnic,38.79,2025-08-06
12348,Industrial,27.43,2025-02-06
12356,Casnic,11.13,2025-06-26
12341,Casnic,17.33,2025-05-30
12355,Industrial,26.45,2025-06-05
12356,Industrial,30.3,2025-11-05
12349,Industrial,28.12,2025-05-28
12353,Casnic,20.06,2025-05-23
12360,Industrial,21.64,2025-05-29
12350,Industrial,15.53,2025-05-22
12359,Casnic,46.98,2025-06-22
12344,Casnic,24.54,2025-05-31
12359,Casnic,19.95,2025-10-05
12357,Casnic,37.86,2025-05-19
12340,Industrial,49.61,2025-06-16
12355,Casnic,16.36,2025-05-26
12351,Industrial,42.09,2025-06-12
12359,Casnic,13.29,2025-05-16
12342,Industrial,37.93,2025-06-29
12340,Industrial,32.32,2025-05-31
12347,Casnic,33.72,2025-05-18
12351,Casnic,14.71,2025-05-28
12345,Industrial,11.83,2025-05-13
12342,Casnic,24.61,2025-05-03
12343,Casnic,26.11,2025-06-11
12358,Casnic,47.32,2025-05-23
12354,Casnic,12.72,2025-05-26
12356,Casnic,29.97,2025-05-31
12350,Casnic,36.82,2025-05-31
12340,Casnic,31.49,2025-05-12
12359,Industrial,20.9,2025-06-02
12342,Casnic,36.06,2025-06-03
12343,Industrial,41.4,2025-06-26
12345,Industrial,14.92,2025-06-30
12349,Industrial,32.02,2025-05-15
12346,Industrial,40.58,2025-05-16
12359,Casnic,14.82,2025-06-25
12352,Industrial,39.05,2025-06-03
12354,Industrial,10.34,2025-06-25
12358,Casnic,30.42,2025-05-28
12345,Industrial,42.81,2025-05-15
12354,Industrial,42.18,2025-05-25
12357,Casnic,19.46,2025-05-26
12353,Industrial,46.41,2025-05-07
12356,Industrial,31.86,2025-06-26
12351,Casnic,17.79,2025-06-13
12360,Casnic,45.61,2025-11-05
12360,Industrial,35.7,2025-05-16
12356,Industrial,25.9,2025-06-30
12355,Industrial,17.59,2025-06-14
12342,Industrial,15.83,2025-05-03
12360,Casnic,29.62,2025-05-05
12343,Casnic,43.89,2025-05-27
12345,Industrial,14.97,2025-05-04
12359,Casnic,32.85,2025-05-31
12347,Industrial,31.19,2025-05-05
12360,Casnic,16.5,2025-05-06
12360,Industrial,16.03,2025-06-25
12352,Casnic,28.02,2025-05-28
12356,Casnic,11.06,2025-06-26
12360,Industrial,44.35,2025-06-25
12358,Casnic,21.35,2025-06-26
12356,Industrial,15.53,2025-06-07
12348,Industrial,45.89,2025-06-15
12346,Casnic,47.06,2025-05-11
12349,Industrial,36.82,2025-05-23
12359,Industrial,27.98,2025-06-13
12340,Casnic,42.91,2025-11-06
12343,Casnic,17.28,2025-05-24
12359,Casnic,21.42,2025-09-06
12347,Casnic,35.2,2025-06-26
12346,Casnic,26.29,2025-05-01
12346,Casnic,18.91,2025-07-05
12349,Industrial,27.7,2025-05-24
12340,Casnic,30.46,2025-06-29
12356,Industrial,34.74,2025-05-07
12347,Industrial,47.25,2025-05-29
12358,Casnic,37.81,2025-05-16
12344,Industrial,22.2,2025-03-06
12342,Industrial,45.32,2025-06-24
12351,Industrial,20.52,2025-06-11
12340,Industrial,36.63,2025-06-06
12357,Casnic,32.05,2025-06-05
12356,Industrial,17.84,2025-06-01
12355,Industrial,48.58,2025-06-01
12359,Casnic,20.47,2025-06-13
12348,Industrial,49.37,2025-06-21
12354,Casnic,38.34,2025-06-26
12346,Casnic,23.46,2025-05-18
12352,Casnic,49.75,2025-06-27
12346,Industrial,48.13,2025-05-24
12342,Casnic,40.97,2025-05-11
12349,Casnic,27.44,2025-06-24
12345,Industrial,27.17,2025-07-05
12357,Industrial,14.15,2025-05-19
12344,Industrial,24.17,2025-06-13
12341,Casnic,26.5,2025-06-04
12347,Casnic,15.28,2025-05-08
12344,Industrial,20.01,2025-05-05
12352,Casnic,44.24,2025-06-22
12350,Casnic,29.57,2025-06-14
12359,Casnic,20.61,2025-05-18
12346,Industrial,22.84,2025-06-20
12352,Industrial,36.31,2025-07-05
12350,Industrial,19.31,2025-05-13
12354,Industrial,27.02,2025-06-02
12358,Casnic,21.99,2025-05-23
12355,Casnic,42.66,2025-05-24
12356,Industrial,18.61,2025-05-25
12353,Industrial,10.26,2025-06-14
12351,Casnic,44.47,2025-05-31
12351,Casnic,10.88,2025-06-13
12344,Casnic,41.14,2025-06-27
12349,Industrial,38.61,2025-05-01
12346,Casnic,36.44,2025-05-15
12355,Industrial,20.78,2025-06-13
12359,Industrial,49.51,2025-06-08
12343,Industrial,21.33,2025-06-30
12348,Casnic,35.98,2025-05-06
12346,Casnic,24.67,2025-06-27
12356,Casnic,34.3,2025-06-01
12345,Casnic,12.58,2025-05-31
12354,Industrial,16.79,2025-05-04
12356,Industrial,40.82,2025-06-10
12350,Casnic,33.5,2025-05-04
12346,Industrial,13.06,2025-06-30
12345,Industrial,27.31,2025-05-23
12347,Industrial,11.89,2025-06-20
12340,Casnic,39.19,2025-06-24
12347,Casnic,11.61,2025-06-06
12346,Industrial,16.55,2025-05-16
12344,Industrial,21.67,2025-06-15
12350,Casnic,28.84,2025-05-30
12355,Casnic,15.98,2025-05-26
12355,Industrial,42.73,2025-06-01
12359,Industrial,11.24,2025-05-19
12360,Casnic,28.1,2025-06-24
12344,Industrial,49.43,2025-05-30
12350,Casnic,36.61,2025-05-30
12344,Casnic,39.47,2025-05-14
12348,Casnic,20.97,2025-06-05
12352,Industrial,22.2,2025-06-10
12348,Casnic,47.28,2025-05-31
12353,Casnic,37.98,2025-05-06
12344,Industrial,31.32,2025-04-06
12355,Industrial,49.65,2025-06-29
12356,Casnic,13.7,2025-05-05
12347,Industrial,25.68,2025-06-17
12356,Industrial,27.71,2025-06-11
12340,Casnic,41.17,2025-06-03
12359,Casnic,12.23,2025-06-05
12351,Industrial,30.47,2025-07-06
12352,Industrial,38.51,2025-05-15
12360,Casnic,20.47,2025-05-03
12359,Casnic,18.31,2025-05-02
12353,Industrial,22.08,2025-05-21
12341,Casnic,37.38,2025-05-31
12341,Casnic,18.65,2025-06-06
12340,Casnic,37.77,2025-06-22
12345,Casnic,36.79,2025-05-05
12343,Casnic,43.26,2025-05-05
12347,Industrial,11.86,2025-06-25
12356,Casnic,11.63,2025-05-06
12349,Industrial,10.6,2025-06-18
12355,Casnic,22.99,2025-05-30
12349,Industrial,43.08,2025-06-26
12340,Casnic,32.19,2025-06-26
12358,Casnic,14.95,2025-05-26
12340,Casnic,11.48,2025-05-19
12343,Industrial,37.3,2025-06-20
12354,Industrial,11.72,2025-06-19
12356,Industrial,13.13,2025-05-10
12359,Industrial,45.94,2025-06-15
12342,Casnic,32.7,2025-06-10
12350,Casnic,24.36,2025-05-14
12356,Casnic,10.03,2025-05-25
12355,Casnic,30.66,2025-05-06
12354,Casnic,39.86,2025-05-24
12345,Casnic,42.23,2025-08-06
12348,Casnic,20.84,2025-06-17
12360,Casnic,38.15,2025-05-24
12356,Casnic,33.12,2025-05-24
12355,Industrial,47.82,2025-05-09
12357,Casnic,19.06,2025-06-28
12350,Casnic,30.34,2025-09-05
12354,Industrial,26.48,2025-06-29
12349,Casnic,47.84,2025-06-02
12345,Industrial,28.24,2025-05-19
12346,Industrial,44.41,2025-01-06
12352,Casnic,23.47,2025-01-06
12356,Industrial,34.45,2025-06-22
12354,Industrial,41.7,2025-05-02
12352,Industrial,49.77,2025-06-17
12355,Industrial,34.46,2025-06-10
12344,Casnic,30.1,2025-05-25
12352,Casnic,35.03,2025-05-12
12340,Casnic,28.79,2025-06-11
12346,Industrial,18.07,2025-05-29
12346,Industrial,16.49,2025-06-29
12356,Industrial,39.52,2025-05-26
12341,Industrial,14.37,2025-05-09
12346,Industrial,45.87,2025-06-14
12359,Casnic,36.53,2025-06-02
12351,Industrial,24.11,2025-06-26
12353,Industrial,41.94,2025-05-29
12342,Industrial,22.95,2025-06-05
12345,Casnic,23.87,2025-06-27
12359,Casnic,24.06,2025-05-18
12349,Casnic,15.81,2025-06-07
12353,Industrial,20.12,2025-05-09
12351,Casnic,19.17,2025-06-07
12358,Casnic,19.39,2025-05-26
12340,Industrial,24.37,2025-06-25
12359,Industrial,39.25,2025-06-20
